 Código EAN;Nome do Produto;Categoria;Estoque atual;Giro mensal; Preço de custo ;
7891132110247;CALDO EM PÓ SAZÓN® SABOR LEGUMES 32,5G;Temperos e Caldos;1192;165; R$ 1,76 ;
7891132110209;CALDO EM PÓ SAZÓN® LEV SABOR CARNE 32,5G;Temperos e Caldos;1440;152; R$ 2,03 ;
7891132083107;REFRESCO EM PÓ MID® SABOR LIMONADA SUIÇA 20G;Bebidas;1058;146; R$ 0,91 ;
7891132165988;AMINOMOV MARACUJA 11G;Suplementos;0;145; R$ 6,99 ;
7891132007509;SOPA CREMOSA VONO® SABOR BATATA COM CARNE 18G;Sopas;22;142; R$ 2,05 ;
7891132008995;SAZÓN® TEMPERA E EMPANA MILANESA SABOR TRADICIONAL 60G;Temperos e Caldos;71;139; R$ 3,86 ;
7891132008704;TEMPERO EM PÓ SAZÓN® TOQUE LIMAO 60G;Temperos e Caldos;401;136; R$ 4,57 ;
7891132009091;AZEITE DE OLIVA EXTRA VIRGEM TERRANO® 500ml;Molhos e Azeites;3367;133; R$ 28,08 ;
7891132165100;aminoVITAL® GOLD Drink Mix Tangerina - Ajinomoto 15 sachês;Suplementos;716;120; R$ 6,29 ;
7891132082322;REFRESCO EM PÓ MID® SABOR LARANJA 20G;Bebidas;1085;108; R$ 0,91 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Luffy Gear 5 100g;Sal e Reaçador de Sabor;0;103; R$ 7,28 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Ace 100g;Sal e Reaçador de Sabor;0;98; R$ 7,28 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Law 100g;Sal e Reaçador de Sabor;88;94; R$ 7,28 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Law 100g;Sal e Reaçador de Sabor;0;94; R$ 7,28 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Buggy 100g;Sal e Reaçador de Sabor;0;87; R$ 7,28 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Buggy 100g;Sal e Reaçador de Sabor;0;87; R$ 7,28 ;
7891132082483;REFRESCO EM PÓ MID® SABOR MANGA 20G;Bebidas;1050;85; R$ 0,91 ;
7891132019731;TEMPERO EM PÓ SAZÓN® PARA SALADA 60G;Temperos e Caldos;279;83; R$ 4,57 ;
7891132166022;AMINOMOV BAUNILHA COM LIMAO 11G;Suplementos;360;75; R$ 6,99 ;
7891132007554;SOPA CREMOSA VONO® SABOR ABÓBORA COM CARNE 17G;Sopas;138;75; R$ 2,05 ;
7891132000449;TEMPERO EM PÓ SAZÓN® PARA ARROZ 60G;Temperos e Caldos;419;75; R$ 4,57 ;
7891132082445;REFRESCO EM PÓ MID® SABOR TANGERINA 20G;Bebidas;1068;72; R$ 0,91 ;
7891132082261;REFRESCO EM PÓ MID® SABOR GOIABA 20G;Bebidas;1145;68; R$ 0,91 ;
7891132009374;SOPA CREMOSA VONO® SABOR AIPIM COM COSTELA 18G;Sopas;495;62; R$ 2,05 ;
7891132001101;TEMPERO EM PÓ SAZÓN® SABORES DO NORDESTE 60G;Temperos e Caldos;405;61; R$ 4,57 ;
7891132019274;TEMPERO EM PÓ SAZÓN® PARA FRANGO 60G;Temperos e Caldos;424;61; R$ 4,57 ;
7891132007486;SOPA CREMOSA VONO® SABOR MILHO COM FRANGO 18G;Sopas;65;60; R$ 2,05 ;
7891132019717;TEMPERO EM PÓ SAZÓN® PARA MASSAS 60G;Temperos e Caldos;243;58; R$ 4,57 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Sabo 100g;Sal e Reaçador de Sabor;0;56; R$ 7,28 ;
7891132007561;SOPA CREMOSA VONO® SABOR CALDINHO DE FEIJÃO 18G;Sopas;22;48; R$ 2,05 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Sabo 36g;Sal e Reaçador de Sabor;76;47; R$ 4,57 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Sabo 36g;Sal e Reaçador de Sabor;0;47; R$ 4,57 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Shanks 100g  ;Sal e Reaçador de Sabor;0;45; R$ 7,28 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Luffy Gear 5 36g;Sal e Reaçador de Sabor;0;44; R$ 4,57 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Shanks 36g;Sal e Reaçador de Sabor;0;40; R$ 4,57 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Shanks 36g;Sal e Reaçador de Sabor;0;40; R$ 4,57 ;
7891132019724;TEMPERO EM PÓ SAZÓN® PARA FEIJÃO 60G;Temperos e Caldos;355;40; R$ 4,57 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Buggy 36g;Sal e Reaçador de Sabor;0;37; R$ 4,57 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Buggy 36g;Sal e Reaçador de Sabor;0;37; R$ 4,57 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Law 36g;Sal e Reaçador de Sabor;43;33; R$ 4,57 ;
4901001200009;aminoVITAL® GOLD - AJINOMOTO - 14 sachês;Suplementos;122;33; R$ 120,65 ;
7891132009114;AZEITE DE OLIVA TIPO ÚNICO TERRANO® 500ML;Molhos e Azeites;533;32; R$ 24,30 ;
7891132007523;SOPA CREMOSA VONO® SABOR PEITO DE FRANGO COM QUEIJO 17G;Sopas;58;31; R$ 2,05 ;
7891132165407;TEMPERO SAZÓN® MEU TOQUE CASEIRO POTE 32g;Temperos e Caldos;262;30; R$ 9,43 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Sabo 100g;Sal e Reaçador de Sabor;0;30; R$ 7,28 ;
7891132009442;SAZÓN® TEMPERA E DÁ LIGA SABOR TRADICIONAL 60G;Temperos e Caldos;302;30; R$ 3,86 ;
7891132008711;TEMPERO EM PÓ SAZÓN® TOQUE ALECRIM 60G;Temperos e Caldos;407;29; R$ 4,57 ;
7891132000012;SABOR A MI® RECEITA DE CASA SEM PIMENTA 450G;Temperos e Caldos;31;25; R$ 9,92 ;
7891132011018;AJI-NO-MOTO® Frasco One Piece Shanks 100g;Sal e Reaçador de Sabor;0;25; R$ 7,28 ;
7891132007530;SOPA CREMOSA VONO® SABOR MANDIOQUINHA COM CEBOLA E SALSA 17G;Sopas;157;24; R$ 2,05 ;
7891132165421;TEMPERO SAZÓN® MEU TOQUE ERVAS POTE 20g;Temperos e Caldos;435;23; R$ 9,43 ;
7891132165445;TEMPERO SAZÓN® MEU TOQUE TOMATE POTE 23g;Temperos e Caldos;641;23; R$ 9,43 ;
7891132009084;AZEITE DE OLIVA EXTRA VIRGEM TERRANO® 250ML;Molhos e Azeites;482;23; R$ 15,66 ;
7891132001552;TEMPERO ORIENTAL HONDASHI® AJINOMOTO 500G;Temperos e Caldos;81;23; R$ 46,52 ;
7891132082988;AJI-SAL® PARRILLA PARA CHURRASCO 500G;Sal e Reaçador de Sabor;46;21; R$ 21,92 ;
7891132165261;AJISAL® PARA CHURRASCO PARRILLA PIMENTA;Sal e Reaçador de Sabor;41;20; R$ 15,98 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Ace 36g;Sal e Reaçador de Sabor;0;19; R$ 4,57 ;
7891132082018;AJI-SAL® TRADICIONAL 100G;Sal e Reaçador de Sabor;0;18; R$ 5,98 ;
7891132009688;SOPA CREMOSA VONO® CHEF SABOR CREME DE QUEIJO 53G;Sopas;156;18; R$ 4,38 ;
7891132083039;SOPA CREMOSA VONO® CHEF SABOR CREME DE CEBOLA MENOS SÓDIO 58G;Sopas;231;18; R$ 4,55 ;
7891132161317;SOPA CREMOSA VONO® PROTEÍNA SABOR MANDIOQUINHA COM FRANGO 35G;Sopas;312;18; R$ 7,38 ;
7891132001354;TEMPERO SAZÓN® PROFISSIONAL PARA CARNES 900G;Food Service;33;18; R$ 35,34 ;
7891132080038;AJI-SAL® PARA CHURRASCO 500G;Sal e Reaçador de Sabor;134;17; R$ 7,56 ;
7891132083015;TEMPERO EM PÓ SAZÓN® SABORES DO NORDESTE 40G;Temperos e Caldos;460;16; R$ 3,35 ;
7891132010080;AJI-NO-MOTO® FLOPPY 36G;Sal e Reaçador de Sabor;480;15; R$ 4,57 ;
7891132110551;SOPA CREMOSA VONO® SABOR MANDIOQUINHA COM CEBOLA E SALSA MENOS SÓDIO 17G;Sopas;311;15; R$ 2,80 ;
7891132110285;SOPA CREMOSA VONO® SABOR BATATA COM CARNE MENOS SÓDIO 18G;Sopas;338;15; R$ 2,80 ;
7891132165209;TEMPERO EM PÓ SAZÓN® PARA CARNES 40G;Temperos e Caldos;653;14; R$ 3,35 ;
7891132001910;MOLHO ESCURO DEMI-GLACE AJINOMOTO® 1KG;Food Service;54;14; R$ 51,82 ;
7891132001378;TEMPERO SAZÓN® PROFISSIONAL PARA FRANGO 900G;Food Service;42;14; R$ 35,34 ;
7891132008391;MOLHO SHOYU SATIS!® SABOR TRADICIONAL 150ML;Molhos e Azeites;46;13; R$ 3,96 ;
7891132165087;SOPA CREMOSA VONO® SABOR MILHO COM FRANGO MENOS SÓDIO 18G;Sopas;312;13; R$ 2,80 ;
7891132165148;SOPA CREMOSA VONO® SABOR PEITO DE FRANGO COM QUEIJO MENOS SÓDIO 17G;Sopas;365;13; R$ 2,80 ;
7891132009626;SOPA CREMOSA VONO® CHEF SABOR CREME DE CEBOLA 58G;Sopas;132;12; R$ 4,38 ;
7891132008407;MOLHO SHOYU SATIS!® SABOR TRADICIONAL 500ML;Molhos e Azeites;26;12; R$ 12,24 ;
7891132005888;AMACIANTE  DE CARNE AJINOMOTO® 1,1KG;Food Service;0;12; R$ 26,69 ;
7891132080014;AJI-SAL® TRADICIONAL 1kg;Sal e Reaçador de Sabor;9;12; R$ 14,70 ;
7891132000029;SABOR A MI® RECEITA DE CASA COM PIMENTA 450G;Temperos e Caldos;61;12; R$ 9,92 ;
7891132009398;TEMPERO SAZÓN® PROFISSIONAL SABOR DE ALHO 900G;Food Service;34;12; R$ 35,34 ;
7891132083022;TEMPERO EM PÓ SAZÓN® PARA FRANGO 40G;Temperos e Caldos;780;12; R$ 3,35 ;
7891132020010;AJI-NO-MOTO® 2 KG;Sal e Reaçador de Sabor;23;11; R$ 64,24 ;
7891132166046;CALDO EM PÓ SAZÓN® SABOR BACON 1,010KG;Food Service;43;11; R$ 17,53 ;
7891132002665;AJI-SAL® TRADICIONAL 2kg;Sal e Reaçador de Sabor;15;10; R$ 23,99 ;
7891132080021;AJI-SAL® PARA CHURRASCO 1KG;Sal e Reaçador de Sabor;70;10; R$ 14,01 ;
7891132005833;CALDO EM PÓ SAZÓN® SABOR GALINHA 1,1KG;Food Service;0;10; R$ 17,53 ;
7891132161294;SOPA CREMOSA VONO® PROTEÍNA SABOR LEGUMES COM CHIA 35G;Sopas;105;10; R$ 7,38 ;
7891132081011;AJI-SAL® TRADICIONAL 250G;Sal e Reaçador de Sabor;230;10; R$ 4,67 ;
7891132110254;SOPA CREMOSA VONO® SABOR ABÓBORA COM CARNE MENOS SÓDIO 17G;Sopas;345;10; R$ 2,80 ;
7891132083008;TEMPERO EM PÓ SAZÓN® PARA LEGUMES 40G;Temperos e Caldos;686;9; R$ 3,35 ;
7891132008421;MOLHO SHOYU SATIS!® PARA LEGUMES E VERDURAS 150ML;Molhos e Azeites;45;9; R$ 4,14 ;
7891132001903;MOLHO BRANCO BECHAMEL AJINOMOTO® 1KG;Food Service;31;9; R$ 32,16 ;
7891132110148;TEMPERO SAZÓN® PROFISSIONAL DE ORÉGANO E MANJERICÃO 900GR;Food Service;34;8; R$ 42,44 ;
7891132014019;AJI-NO-MOTO® PACOTE 500G;Sal e Reaçador de Sabor;8;7; R$ 19,53 ;
7891132013012;AJI-NO-MOTO® ESTOJO 200g;Sal e Reaçador de Sabor;10;7; R$ 8,96 ;
7891132019038;TEMPERO COMPLETO SABOR A MI® SEM PIMENTA 300G;Temperos e Caldos;79;7; R$ 4,49 ;
7891132165223;MOLHO SHOYU PROFISSIONAL SATIS!® TRADICIONAL 870ML;Molhos e Azeites;31;7; R$ 14,81 ;
7891132001774;TEMPERO SAZÓN® PROFISSIONAL PARA LEGUMES 900G;Food Service;40;7; R$ 35,34 ;
7891132012015;AJI-NO-MOTO® REFIL 100G;Sal e Reaçador de Sabor;9;6; R$ 4,76 ;
7891132002504;PURÊ DE BATATAS AJINOMOTO® 1KG;Food Service;0;6; R$ 48,96 ;
7891132001651;CREME DE CEBOLA AJINOMOTO® 1KG;Food Service;34;6; R$ 36,12 ;
7891132009305;MOLHO DE TOMATE AJINOMOTO® 2KG;Food Service;36;6; R$ 24,69 ;
7891132161249;AJI-SAL® PARA CHURRASCO POTE 500G;Sal e Reaçador de Sabor;223;6; R$ 14,53 ;
7891132082810;MISTURA COMPLETA PARA MILANESA AJINOMOTO®  800G;Food Service;45;6; R$ 30,26 ;
7891132005857;CALDO EM PÓ SAZÓN® SABOR LEGUMES 1,1KG;Food Service;28;5; R$ 17,53 ;
7891132019045;TEMPERO COMPLETO SABOR  A MI® COM PIMENTA 300G;Temperos e Caldos;85;5; R$ 4,49 ;
7891132010158;CALDO EM PÓ SAZÓN® SABOR FRUTOS DO MAR 1,1KG;Food Service;44;4; R$ 19,63 ;
